Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MT419833,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29835,GenBank,partial,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC5/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT419834,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29704,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC6/2020, complete genome"
MT419835,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC7/2020, complete genome"
MT419836,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29648,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC8/2020, complete genome"
MT419837,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29885,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC9/2020, complete genome"
MT419838,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29731,GenBank,partial,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC10/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S) gene, complete cds; ORF3a protein (ORF3a) gene, partial cds; envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), and ORF8 protein (ORF8) genes, complete cds; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, partial cds"
MT419839,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29851,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-05,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC11/2020, complete genome"
MT419840,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29004,GenBank,partial,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,,2020-03-11,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC12/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; and ORF8 protein (ORF8) and nucleocapsid phosphoprotein (N) genes, partial cds"
MT419841,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29722,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-02-29,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-SCCPHD-UC14/2020, complete genome"
MT419842,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29795,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-SCCPHD-UC16/2020, complete genome"
MT419843,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29340,GenBank,partial,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-08,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-SCCPHD-UC17/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), and envelope protein (E) genes, partial cds; membrane glycoprotein (M) gene, complete cds; ORF6 protein (ORF6) and ORF7a protein (ORF7a) genes, partial cds; ORF7b (ORF7b) gene, complete cds; and ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, partial cds"
MT419844,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29523,GenBank,partial,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC18/2020 ORF1ab polyprotein (ORF1ab) gene, partial cds; ORF1a polyprotein (ORF1ab) gene, complete cds; surface glycoprotein (S) gene, partial cds; ORF3a protein (ORF3a), envelope protein (E), and membrane glycoprotein (M) genes, complete cds; ORF6 protein (ORF6) and ORF7a protein (ORF7a) genes, partial cds; ORF7b (ORF7b) and ORF8 protein (ORF8) genes, complete cds; and nucleocapsid phosphoprotein (N) gene, partial cds"
MT419845,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29692,GenBank,partial,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC19/2020 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), and ORF8 protein (ORF8) genes, complete cds; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, partial cds"
MT419846,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29666,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC20/2020, complete genome"
MT419847,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29720,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-03,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC21/2020, complete genome"
MT419848,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29715,GenBank,partial,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC22/2020 ORF1ab polyprotein (ORF1ab) gene, complete cds; ORF1a polyprotein (ORF1ab) gene, partial cds; surface glycoprotein (S) gene, complete cds; ORF3a protein (ORF3a) gene, partial cds; envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) gene, partial cds; ORF8 protein (ORF8) and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 protein (ORF10) gene, partial cds"
MT419849,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29617,GenBank,partial,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-09,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC23/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 protein (ORF10) gene, partial cds"
MT419850,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29797,GenBank,partial,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-07,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC24/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S) and ORF3a protein (ORF3a) genes, complete cds; envelope protein (E) gene, partial cds; membrane glycoprotein (M), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), and nucleocapsid phosphoprotein (N) genes, complete cds; and ORF10 protein (ORF10) gene, partial cds"
MT419851,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29818,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC26/2020, complete genome"
MT419852,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29264,GenBank,partial,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC27/2020 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), and envelope protein (E) genes, complete cds; membrane glycoprotein (M) and ORF6 protein (ORF6) genes, partial cds; and ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
MT419853,2020-05-01T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29846,GenBank,complete,,,"Deng,X., Gu,W., Federman,S., du Plessis,L., Pybus,O.G., Faria,N., Wang,C., Yu,G., Bushnell,B., Pan,C.-Y., Guevara,H., Sotomayor-Gonzalez,A., Zorn,K., Gopez,A., Servellita,V., Hsu,E., Miller,S., Bedford,T., Greninger,A.L., Roychoudhury,P., Starita,L.M., Famulare,M., Chu,H.Y., Shendure,J., Jerome,K.R., Anderson,C., Gangavarapu,K., Zeller,M., Spencer,E., Andersen,K.G., MacCannell,D., Paden,C.R., Li,Y., Zhang,J., Tong,S., Armstrong,G., Morrow,S., Willis,M., Matyas,B.T., Mase,S., Kasirye,O., Park,M., Masinde,G., Chan,C., Yu,A.T., Chai,S.J., Villarino,E., Bonin,B., Wadford,D.A., Chiu,C.Y.",,USA: CA,Homo sapiens,oronasopharynx,2020-03-14,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDPH-UC28/2020, complete genome"
